State,ALLY FINANCIAL INC.,AMERICAN EXPRESS COMPANY,"BANK OF AMERICA, NATIONAL ASSOCIATION",BARCLAYS BANK DELAWARE,BB&T CORPORATION,"BNY MELLON, NATIONAL ASSOCIATION",CAPITAL ONE FINANCIAL CORPORATION,"CHARLES SCHWAB CORPORATION, THE","CITIBANK, N.A.",DISCOVER BANK,HSBC NORTH AMERICA HOLDINGS INC.,JPMORGAN CHASE & CO.,OCWEN LOAN SERVICING LLC,PNC Bank N.A.,"SUNTRUST BANKS, INC.",SYNCHRONY FINANCIAL,TD BANK US HOLDING COMPANY,U.S. BANCORP,WELLS FARGO & COMPANY
Bank account or service,777,447,13917,129,1672,166,2445,94,4450,487,1018,9816,62,3490,2559,746,3060,3726,13334
Checking or savings account,30,11,680,5,94,4,123,5,165,18,29,618,,140,144,18,113,151,597
Consumer Loan,2094,17,681,20,399,1,1212,,765,123,190,1029,32,335,258,682,433,574,2528
Credit card,18,6669,9111,3514,138,6,12920,4,16816,4264,667,10373,6,494,225,8778,1303,2448,4042
Credit card or prepaid card,3,409,417,256,9,1,544,,793,209,12,640,,31,10,459,88,188,220
Credit reporting,37,54,126,76,14,,363,,266,69,48,192,42,29,19,183,41,62,157
"Credit reporting, credit repair services, or other personal consumer reports",71,46,153,65,17,,262,,216,65,6,188,41,11,12,173,38,33,154
Debt collection,319,481,1757,363,132,2,2465,,2909,688,1036,1853,621,174,107,2527,306,512,1396
"Money transfer, virtual currency, or money service",4,3,57,3,5,2,16,,16,1,5,73,1,14,12,2,18,15,62
Money transfers,7,11,271,4,9,6,31,3,102,10,33,228,2,39,37,9,36,34,254
Mortgage,48,6,40526,5,1001,8,1034,20,8926,71,4295,18728,23972,4120,3006,204,796,4692,31425
Payday loan,,,14,,2,,5,,22,,2,6,1,4,1,42,1,18,23
"Payday loan, title loan, or personal loan",2,,9,,2,,4,,5,3,2,15,,10,3,14,12,11,49
Prepaid card,,638,55,1,3,,21,,206,2,3,32,,13,8,20,13,321,36
Student loan,3,1,103,,,,2,,623,851,7,806,1,78,59,1,1,79,1373
Vehicle loan or lease,110,,18,,13,,51,1,3,,2,43,,4,13,4,9,18,82
